P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	8	8	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.29	0
5	8	9	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.27	0
5	8	10	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.40	0
5	8	11	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.46	1
5	8	12	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	8	13	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
5	8	14	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
5	8	15	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.19	0
5	8	16	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
5	8	17	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.29	0
5	8	18	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.36	0
5	8	19	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	8	20	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.25	0
5	8	21	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
5	8	22	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
5	8	23	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.36	0
5	8	24	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.37	1
5	8	25	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
5	8	26	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.21	1
5	8	27	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.26	0
5	8	28	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.26	0
5	8	29	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
5	9	0	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.55	1
5	9	1	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.25	0
5	9	2	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.22	1
5	9	3	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
5	9	4	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.28	0
5	9	5	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	9	6	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.18	0
5	9	7	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.30	0
5	9	8	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.29	1
5	9	9	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.22	1
5	9	10	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
5	9	11	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.26	0
5	9	12	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.26	0
5	9	13	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.64	0
5	9	14	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.26	0
5	9	15	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
5	9	16	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.10	1
5	9	17	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
5	9	18	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
5	9	19	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	9	20	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.50	0
5	9	21	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.39	1
5	9	22	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
5	9	23	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.24	0
5	9	24	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
5	9	25	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.22	0
5	9	26	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.30	0
5	9	27	+0.36	NaN	NaN	NaN	NaN	NaN	0	+0.12	0
5	9	28	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.21	1
5	9	29	+0.36	NaN	NaN	NaN	NaN	NaN	1	+0.18	1
