k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	168	1	+0.23	+0.13	+0.25	+0.75	+0.00	+1.00	1	1	NaN	1
0	169	0	-0.15	-0.34	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
0	170	0	-0.46	-0.78	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	171	0	-0.63	-0.94	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	172	1	+0.06	-0.06	+0.61	+0.39	+1.00	+0.00	0	0	NaN	0
0	173	1	+0.18	+0.09	+0.33	+0.67	+0.00	+1.00	1	1	NaN	1
0	174	0	-0.43	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	175	0	-0.84	-0.81	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	176	1	+0.59	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	177	1	+0.99	+1.05	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	178	0	-0.85	-0.76	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	179	1	+0.82	+1.20	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	180	1	+0.69	+0.83	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	181	1	+0.03	-0.01	+0.52	+0.48	+1.00	+0.00	0	0	NaN	0
0	182	1	+0.60	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	183	1	+0.43	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	184	1	+0.05	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
0	185	1	+0.52	+0.75	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	186	0	-0.56	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	187	1	+0.12	-0.15	+0.77	+0.23	+1.00	+0.00	0	0	NaN	0
0	188	0	-0.36	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	189	0	-0.76	-0.66	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	190	0	-0.46	-0.47	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	191	1	+0.19	+0.21	+0.14	+0.86	+0.00	+1.00	1	1	NaN	1
0	192	0	-0.85	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	193	0	-0.40	-0.64	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	194	1	+0.91	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	195	1	+0.33	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	196	1	+0.08	+0.36	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
0	197	0	-0.95	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	198	1	+0.15	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
